date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22684c74f7-239b%22	https://lizzyminja.github.io/robots.txt		(from )
14:29:24	2175/2175	---M-Z	200	added ('OK')	text/html	etag:W/%22684feb67-87f%22	https://lizzyminja.github.io/Coffeeshot/	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/index.html	(from )
14:29:25	2951/2951	---M-Z	200	added ('OK')	text/css	etag:W/%22684feb67-b87%22	https://lizzyminja.github.io/Coffeeshot/style.css	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/style.css	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:26	104/104	---M--	200	added ('OK')	application/javascript	etag:%22684feb67-68%22	https://lizzyminja.github.io/Coffeeshot/script.js	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/script.js	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:26	1479/1479	---M-Z	200	added ('OK')	text/html	etag:W/%22684feb67-5c7%22	https://lizzyminja.github.io/Coffeeshot/contact.html	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/contact.html	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:27	2934/2934	---M-Z	200	added ('OK')	text/html	etag:W/%22684feb67-b76%22	https://lizzyminja.github.io/Coffeeshot/about.html	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/about.html	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:28	1536/1536	---M-Z	200	added ('OK')	text/html	etag:W/%22684feb67-600%22	https://lizzyminja.github.io/Coffeeshot/gallery.html	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/gallery.html	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:30	79995/79995	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-1387b%22	https://lizzyminja.github.io/Coffeeshot/c65adcdff4fb1d23f03181ede351b1bc.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/c65adcdff4fb1d23f03181ede351b1bc.jpg	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:34	49252/49252	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-c064%22	https://lizzyminja.github.io/Coffeeshot/d1e538f53f461e20636aa48d6c944c36.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/d1e538f53f461e20636aa48d6c944c36.jpg	(from https://lizzyminja.github.io/Coffeeshot/contact.html)
14:29:34	117533/117533	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-1cb1d%22	https://lizzyminja.github.io/Coffeeshot/507bb4352c6cb87ae99ecc83698c80c2.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/507bb4352c6cb87ae99ecc83698c80c2.jpg	(from https://lizzyminja.github.io/Coffeeshot/)
14:29:37	2175/2175	---M-Z	200	added ('OK')	text/html	etag:W/%22684feb67-87f%22	https://lizzyminja.github.io/Coffeeshot/index.html	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/index-2.html	(from https://lizzyminja.github.io/Coffeeshot/about.html)
14:29:39	114416/114416	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-1bef0%22	https://lizzyminja.github.io/Coffeeshot/e31221b29d12e9780cdd7a4884f0a99d.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/e31221b29d12e9780cdd7a4884f0a99d.jpg	(from https://lizzyminja.github.io/Coffeeshot/about.html)
14:29:39	119239/119239	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-1d1c7%22	https://lizzyminja.github.io/Coffeeshot/2eb21909f7b269089ffb9cdfb0dc5887.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/2eb21909f7b269089ffb9cdfb0dc5887.jpg	(from https://lizzyminja.github.io/Coffeeshot/gallery.html)
14:29:40	85778/85778	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-14f12%22	https://lizzyminja.github.io/Coffeeshot/02e5ac6ceca3eba6dbd70b8bc5ab91c3.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/02e5ac6ceca3eba6dbd70b8bc5ab91c3.jpg	(from https://lizzyminja.github.io/Coffeeshot/gallery.html)
14:29:41	94648/94648	---M--	200	added ('OK')	image/jpeg	etag:%22684feb67-171b8%22	https://lizzyminja.github.io/Coffeeshot/e9b7e596d74785a154e8634f7f841937.jpg	/home/alien101/website-clone/lizzyminja.github.io/Coffeeshot/e9b7e596d74785a154e8634f7f841937.jpg	(from https://lizzyminja.github.io/Coffeeshot/gallery.html)
